competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,21338,Mini Carnation Cream,Carnations-Mini,Bu,Cream,,1,,,,Colombia,Mini Carnation Cream,2025-06-01,2025-06-10
DVFlora,29692,Aster Matsumoto Pink Hot,Aster-Focal,Bu,Pink Hot,,10,,,,,Aster Matsumoto Pink Hot,2025-06-01,2025-06-10
DVFlora,50856,Alstro Yellow Ecuador,Alstroemeria,Bu,Yellow,70,70,6.99,6.99,18,Ecuador,Alstro Yellow Ecuador,2025-06-01,2025-06-10
DVFlora,57996,Alstro Yellow Bella Star,Alstroemeria,Bu,Yellow,,1,7.79,7.79,4,Colombia,Alstro Yellow Bella Star,2025-06-01,2025-06-10
DVFlora,57972,Alstro Yellow Bella Star,Alstroemeria,Bu,Yellow,,1,6.99,6.99,5,Colombia,Alstro Yellow Bella Star,2025-06-01,2025-06-10
DVFlora,50885,Alstro Yellow Sunny Lady Prem,Alstroemeria,Bu,Yellow,,1,6.99,6.99,5,Colombia,Alstro Yellow Sunny Lady Prem,2025-06-01,2025-06-10
DVFlora,21345,Mini Carnation Pink-Light,Carnations-Mini,Bu,Pink Light,,1,4.29,4.29,30,Colombia,Mini Carnation Pink-Light,2025-06-01,2025-06-10
DVFlora,21355,Mini Carnation Green,Carnations-Mini,Bu,Green,,1,4.49,4.49,30,Colombia,Mini Carnation Green,2025-06-01,2025-06-10
DVFlora,57180,Aster Assorted Tint Sol Spring,Aster-Spray,Bu,Assorted-Sprayed,,1,6.99,6.99,12,Colombia,Aster Assorted Tint Sol Spring,2025-06-01,2025-06-10
DVFlora,54703,Alstro Lavender Galaxy Prem,Alstroemeria,Bu,Lavender,,1,6.49,6.49,5,Colombia,Alstro Lavender Galaxy Prem,2025-06-01,2025-06-10
DVFlora,57987,Alstro Lavender Galaxy,Alstroemeria,Bu,Lavender,,1,7.79,7.79,4,Colombia,Alstro Lavender Galaxy,2025-06-01,2025-06-10
DVFlora,20636,Alstro Lavender Mila,Alstroemeria,Bu,Lavender,,1,7.79,7.79,4,Colombia,Alstro Lavender Mila,2025-06-01,2025-06-10
DVFlora,57998,Alstro Lavender Monte Azz,Alstroemeria,Bu,Lavender,,1,7.79,7.79,4,Colombia,Alstro Lavender Monte Azz,2025-06-01,2025-06-10
DVFlora,50859,Alstro Lavender Ecuado,Alstroemeria,Bu,Lavender,70,70,6.99,6.99,18,Ecuador,Alstro Lavender Ecuado,2025-06-01,2025-06-10
DVFlora,65200,Alstro Assorted White Premium,Alstroemeria,Bu,White,,1,6.99,6.99,8,Colombia,Alstro Assorted White Premium,2025-06-01,2025-06-10
DVFlora,25756,Alstro Assorted White Select,Alstroemeria,Bu,White,,1,5.19,5.19,12,Colombia,Alstro Assorted White Select,2025-06-01,2025-06-10
DVFlora,59657,Alstro White Ecuador,Alstroemeria,Bu,White,70,70,6.99,6.99,18,Ecuador,Alstro White Ecuador,2025-06-01,2025-06-10
DVFlora,60115,Alstro White Aspen Premium,Alstroemeria,Bu,White,,1,6.99,6.99,5,Colombia,Alstro White Aspen Premium,2025-06-01,2025-06-10
DVFlora,65753,Alstro White Aspen Select,Alstroemeria,Bu,White,,1,5.99,5.99,10,Colombia,Alstro White Aspen Select,2025-06-01,2025-06-10
DVFlora,67747,Alstro White Bianca Prem,Alstroemeria,Bu,White,,1,6.99,6.99,5,Colombia,Alstro White Bianca Prem,2025-06-01,2025-06-10
