competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,stem_price,created_at,eta_date
FlowerMarketplace,2160684,CALLAS PINK PANTHER,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160686,CALLAS PURPLE STAR,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160688,CALLAS RASPBERRY,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160690,CALLAS RED ARANAL,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160692,CALLAS RUBYLITE ROSE,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160694,CALLAS SCHWARZWALDER,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160696,CALLAS SIAMESE CALLA,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160698,CALLAS STRAUSS,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160700,CALLAS TEQUILA SUNRISE,Calla Lily,Stems,,1,5.13,2025-06-02,2025-06-10
FlowerMarketplace,2160702,CARNATION ANTIGUA FANCY,Carnations,Stems,,1,0.51,2025-06-02,2025-06-10
FlowerMarketplace,2192246,Carnation Apple Tea,Carnations,Stems,,1,0.64,2025-06-02,2025-06-10
FlowerMarketplace,2160704,CARNATION ASSORTED FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192254,Carnation Ayame,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160706,CARNATION BURGUNDY FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192251,Carnation Cheerio,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160708,CARNATION CREAM FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160710,CARNATION DARK PINK FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192237,Carnation Fabulous,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2192249,Carnation Farida,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2192253,Carnation Fiesta Komachi,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2220930,Carnation Fiesta Komachi,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160712,CARNATION GREEN FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160714,CARNATION HOT PINK FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192247,Carnation Illusion,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2192239,Carnation Lege Marrone,Carnations,Stems,,1,0.64,2025-06-02,2025-06-10
FlowerMarketplace,2192244,Carnation Megan,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2192250,Carnation Minerva,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160716,CARNATION MINI ASSORTED,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160718,CARNATION MINI CREAM,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160720,CARNATION MINI GREEN,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160722,CARNATION MINI HOT PINK,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160724,CARNATION MINI LAVENDER,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160726,CARNATION MINI LIGHT PINK,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160728,CARNATION MINI LILAC,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160730,CARNATION MINI MOON SERIES,Mini Carnations,Stems,,1,1.06,2025-06-02,2025-06-10
FlowerMarketplace,2160732,CARNATION MINI NOVELTY,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160734,CARNATION MINI ORANGE,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160736,CARNATION MINI PEACH,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160738,CARNATION MINI PINK,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160740,CARNATION MINI PURPLE,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160742,CARNATION MINI RED,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160744,CARNATION MINI WHITE,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160746,CARNATION MINI YELLOW,Mini Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2161251,CARNATION MOON SERIES ASSORTED,Carnations,Bunch,,1,0.83,2025-06-02,2025-06-10
FlowerMarketplace,2160748,CARNATION MOONAQUA,Carnations,Stems,,1,0.98,2025-06-02,2025-06-10
FlowerMarketplace,2160750,CARNATION MOONSHADE,Carnations,Stems,,1,0.98,2025-06-02,2025-06-10
FlowerMarketplace,2192241,Carnation Moonshade,Carnations,Stems,,1,0.89,2025-06-02,2025-06-10
FlowerMarketplace,2192243,Carnation Nobbio,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160752,CARNATION NOVELTY FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160754,CARNATION ORANGE FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160756,CARNATION PEACH FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192242,Carnation Peppermint,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160758,CARNATION PINK FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192248,Carnation Prado,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2160760,CARNATION PURPLE FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160762,CARNATION RED FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2192245,Carnation Rodas,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2192252,Carnation Viana,Carnations,Stems,,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2192238,Carnation Vintage Copper,Carnations,Stems,,1,0.64,2025-06-02,2025-06-10
FlowerMarketplace,2160764,CARNATION VINTAGE MIX FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160766,CARNATION WHITE FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2160768,CARNATION YELLOW FANCY,Carnations,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2276984,CELOSIA ACT INCA,Celosia,Stems,70,1,8.2,2025-06-02,2025-06-10
FlowerMarketplace,2276986,CELOSIA ACT ZARA,Celosia,Stems,70,1,9.25,2025-06-02,2025-06-10
FlowerMarketplace,2276988,CHAMELAUCIUM MAYA 35gram,chamelaucium,Stems,70,1,5.83,2025-06-02,2025-06-10
