product_name,competitor_product_id
STOCK HOT PINK,328
Stock Lavander,2145989
STOCK LIGHT PINK,325535
Stock Mathiola Dark Purple Super,2133300
Stock Mathiola Hot Pink Super,1860265
Stock Mathiola Mauve Super,1861153
Stock Mathiola Pink Super,1860408
Stock Mathiola Rubi Red Super,2133320
Stock Mathiola Spray White,1860274
Stock Mathiola White Super,1858831
Stock Mauve,2212077
STOCK PEACH,325518
Stock Peach,2145991
STOCK PURPLE,2098929
Stock Spray Pink,1860377
STOCK SPRAY YELLOW,2274337
STOCK WHITE,325501
STOCK WHITE,2096615
Stock White,2138978
Super Jade Green,2231110
Sword Fern Green GREEN,2135068
Sword Fern GREEN GREEN,2220151
Teepe (LG) Mexican Green,2148609
Ti Leaves Assorted MIX MIX,2146177
TI LEAVES GREEN,329213
Ti Leaves Green GREEN,2220828
Ti Leaves Green Green,2135072
Ti Leaves Red Sister,2236529
Ti Leaves Red Sister Red,2135074
Tree Fern GREEN,2221050
Tree Fern GREEN,2220082
True Blue Eucalyptus Green,2141065
TULIP ASSORTED,325074
Tulip Red Hamper,1859478
Tulip Yellow Hamper,1860393
Tulips Assorted,2263568
Tulips Light Pink,2264357
Umbrella Palm Green,2182516
Veronica White,2133349
Veronica Assorted,2264358
Veronica Assorted,2146552
Veronica BLUE,2223906
Veronica White,2223379
VERONICAS WHITE SKYLER,2211449
Viburnum Green,2259775
Waxflower Tinted Dark Pink,2212117
Waxflower Tinted Purple,2229114
Wild Smilax Green,2135086
Xanadu Green,2230905
