competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,84,115.92,1.38,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,168,225.12,1.34,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,336,440.16,1.31,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,60,84,129.36,1.54,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,60,168,250.32,1.49,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,60,252,367.92,1.46,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,4638435082339,Andrea Cremon Chrysanthemum -,Chrysanthemums,Berry,45,70,93.1,1.33,"Mixed Chrysanthemum Cdn, Cremon And Spider Fall Assorted Box",23bc8a8f-e3fd-459c-a592-9ced8c621c70,0.9532220363616943,andrea chrysanthemum cremon,Chrysanthemum Micro Pom,77e80550-8ed3-4d02-8e97-982365e4d611,0.9791447520256042,2025-05-26,2025-06-04
PetalJet,4638435082339,Andrea Cremon Chrysanthemum -,Chrysanthemums,Berry,45,100,130.0,1.3,"Mixed Chrysanthemum Cdn, Cremon And Spider Fall Assorted Box",23bc8a8f-e3fd-459c-a592-9ced8c621c70,0.9532220363616943,andrea chrysanthemum cremon,Chrysanthemum Micro Pom,77e80550-8ed3-4d02-8e97-982365e4d611,0.9791447520256042,2025-05-26,2025-06-04
PetalJet,4638435082339,Andrea Cremon Chrysanthemum -,Chrysanthemums,Berry,65,100,133.0,1.33,"Mixed Chrysanthemum Cdn, Cremon And Spider Fall Assorted Box",23bc8a8f-e3fd-459c-a592-9ced8c621c70,0.9532220363616943,andrea chrysanthemum cremon,Chrysanthemum Micro Pom,77e80550-8ed3-4d02-8e97-982365e4d611,0.9791447520256042,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,60,80.4,1.34,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,84,108.36,1.29,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,168,215.04,1.28,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,40,336,420.0,1.25,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,60,87.0,1.45,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,84,116.76,1.39,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,168,231.84,1.38,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,50,336,453.6,1.35,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,60,84,124.32,1.48,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,60,168,243.6,1.45,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,1765106647101,Andrea Garden Rose,Garden Roses,Grey,60,336,467.04,1.39,Pink Martina Garden Roses,b960ca5a-bab1-4967-af07-5b3af3f412e6,0.9682526588439941,andrea garden rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
